SimStadt PV potential analysis

Data source;meteonorm tmy3 file 2000-2009
Location;Berlin
Latitude;52,51;°
Longitude;13,38;°
Radiation model;meteonorm_Hay
Irradiance azimuth resolution;5;°
Irradiance tilt resolution;5;°
Max tilt;100;°
Include Tilted Roofs?;true
Include Flat Roofs?;true
Include Facades?;false
Include LOD1?;false
Max flat roof elevation;10;°
Min surface area;40;m²
Min roof insolation;1100;kWh/(m²·a)
Min facade insolation;800;kWh/(m²·a)
Module area to flat roof area;30;%
Module area to tilted roof area;40;%
Module area to LOD1 roof area;15;%
Module area to facade area;5;%
Module efficiency;15;%
Performance Ratio;85;%
Module azimuth on flat roof;180;°
Module tilt on flat roof;25;°


SimStadt version;0.10.0-SNAPSHOT (master, rev. 6d7c707, 20230828)
Created at;2024/11/06 16:02:03
Cache version;7

Irradiance on unshadowed tilted modules on flat roof;138,7;W/m²
Calculation time ;0,22;s

Building ID;Year;Surface area to volume ratio;MeanHeight;BuildingSurface ID;BuildingSurface Hash;LOD;Usage Code;X-Coordinate;Y-Coordinate;Azimuth;Tilt;Area;Module area/Surface area;Irradiance in module plane;PV potential nominal power;PV potential yield;PV specific yield;January irradiance on roof plane;February irradiance on roof plane;March irradiance on roof plane;April irradiance on roof plane;May irradiance on roof plane;June irradiance on roof plane;July irradiance on roof plane;August irradiance on roof plane;September irradiance on roof plane;October irradiance on roof plane;November irradiance on roof plane;December irradiance on roof plane;Total investment;Maintenance costs;LCOE;Net present value;Internal rate of return;Payback period;Discounted payback period;Financial feasibility
[-];[-];[1/m];[m];[-];[-];[-];[-];[m];[m];[°];[°];[m²];[%];[W/m²];[kWp];[MWh/a];[kWh/(kWp.a)];[W/m²];[W/m²];[W/m²];[W/m²];[W/m²];[W/m²];[W/m²];[W/m²];[W/m²];[W/m²];[W/m²];[W/m²];[€];[€/a];[c€/kWh];[€];[%];[a];[a];[0/1]
DEBE3D04YY5000087t;1955;0,374;15,068;ID_5db8e0b1-fda3-429f-be17-17492a674fce;2120758081;LOD2;1010;384881,3;5821257,2;194;33;161,4;40,00;145,1;9;9,72;1081;36;65;168;260;225;224;199;218;176;85;55;27;
DEBE3DuiKI78cUOR;1905;0,540;23,986;ID_571ea0db-a2b9-4fee-8241-ef64f100555b;843711239;LOD2;1010;385391,4;5820825,1;269;43;53,9;40,00;136,6;3;3,05;1017;34;61;149;232;219;232;194;211;155;76;46;27;
DEBE3DtpwCigPG0v;1905;0,338;19,578;ID_2cefbcb2-a79a-46d8-898c-4b2eca2ac7a4;502805726;LOD2;1010;384713,9;5820825,7;180;0;119,1;30,00;138,7;5;5,16;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3DtpwCigPG0v;1905;0,338;19,578;ID_8737e4d9-4cf4-4120-a9e8-c96e57358fea;926441464;LOD2;1010;384713,9;5820825,7;196;42;68,1;40,00;144,6;4;4,31;1077;36;66;171;260;221;219;195;216;178;86;57;27;
DEBE04YY500003Aj_01;;0,459;9,912;ID_9c25ad2a-83d6-4423-9b86-8b602be53e41;163548221;LOD2;1010;384491,5;5820081,1;180;0;63,4;30,00;138,7;2;2,07;1033;28;50;120;214;216;226;201;195;136;65;34;22;
UUID_6b49ed59-6063-496e-a297-acf4d4992f75;;0,757;20,961;ID_56386a73-a632-4f8e-8cce-476f4e00ac9d;2071477097;LOD2;1010;384435,3;5820015,9;85;4;224,9;30,00;138,7;10;10,33;1033;25;46;112;205;209;220;197;188;129;61;31;19;
DEBE04YY50000CvZ_02;;0,600;6,542;ID_df93dcef-e8a7-43cf-9b7f-a8bbc184b239;1004271627;LOD2;1022;385361,0;5820076,7;180;0;331,8;30,00;138,7;14;14,46;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3DxmvzZlmfTo;;0,275;22,485;ID_7c94f4e3-9b3c-4600-a47e-5b7fd688b326;2088354236;LOD2;1010;384907,8;5820939,3;105;9;54,7;30,00;138,7;2;2,07;1033;23;44;111;204;208;216;195;185;127;59;30;17;
DEBE04YY500002Ap_02;;0,471;19,292;ID_1a0b06c4-2455-42d0-9d56-278ecdc62340;16197717;LOD2;1010;384909,4;5820920,4;180;0;154,0;30,00;138,7;6;6,20;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE04YY500002Ap_01;;0,419;20,447;ID_b73bb261-2ed2-4dec-ba00-c70e4f8cf54b;1429636771;LOD2;1010;384904,6;5820901,7;286;10;45,7;30,00;138,7;2;2,07;1033;30;54;128;220;220;234;204;203;142;69;37;24;
DEBE3DZXcl3k7dP6;;0,322;22,946;ID_411d9782-de7f-4813-81fe-cc5d5a0f378b;1127072075;LOD2;1010;384791,7;5820203,5;111;10;197,8;30,00;138,7;8;8,26;1033;23;44;112;206;209;217;196;187;129;59;30;18;
DEBE3DHL10F9ioj8;;0,268;19,746;ID_c8ee7bc6-0254-400f-a8aa-e8e4dc985f08;182505182;LOD2;1120;384547,8;5820083,1;180;0;199,5;30,00;138,7;8;8,26;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3DPiXbGux0Ww;2013;0,047;59,047;ID_d87e5653-3a26-451d-8d00-038e8adff497;1525420322;LOD2;2520;385333,6;5820378,5;86;2;194,1;30,00;138,7;8;8,26;1033;28;50;120;214;216;226;201;195;136;65;34;22;
UUID_8bd071d9-fbb4-451b-bf26-e02cc64f849c;;0,365;20,515;ID_9dac3746-493e-49b7-bdab-744a0c900c69;220638808;LOD2;1022;385378,0;5820060,6;180;0;323,0;30,00;138,7;14;14,46;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3DCNUH4f7ltk;1925;0,643;4,957;ID_f69f79ea-02f6-4cf9-ac32-9e0e7828907e;944364652;LOD2;2120;385557,6;5820614,0;273;7;122,2;30,00;138,7;5;5,16;1033;30;54;126;220;220;231;204;201;141;69;37;24;
DEBE3D04YY50000PwM;;0,661;6,513;ID_7ee82235-2a47-41ca-9242-006630bffe3a;74155915;LOD2;1010;384452,1;5821737,6;249;54;67,8;40,00;143,7;4;4,28;1070;41;68;167;248;220;227;190;217;170;84;56;33;
DEBE3DTZ1qPbmeS5;1905;0,327;22,501;ID_9fa5b2fd-5f14-4bb2-80dd-c9d2bf48332c;494679303;LOD2;1010;384744,0;5820510,0;128;4;116,2;30,00;138,7;5;5,16;1033;26;48;119;214;214;224;200;194;136;64;34;20;
DEBE3DJlWvCMCsJ7;1905;0,255;21,462;ID_e51d3896-d739-42d1-8124-b872ac4b2868;1441996299;LOD2;1010;384630,8;5820505,1;13;10;89,1;30,00;138,7;4;4,13;1033;25;44;100;188;201;217;192;179;117;57;28;19;
DEBE3DJlWvCMCsJ7;1905;0,255;21,462;ID_7d417780-a456-42d9-9eb7-25189ca2905c;1690128722;LOD2;1010;384630,8;5820505,1;193;39;43,3;40,00;144,6;2;2,15;1077;36;66;171;260;221;219;195;216;178;86;57;27;
DEBE04YY50000N0K_01;1905;0,383;19,154;ID_d08a1b10-4d70-4161-97bd-c7c850e7b12c;1626017956;LOD2;1010;384680,1;5820740,1;180;0;295,1;30,00;138,7;13;13,43;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3D04YY50000Pvi;1925;0,484;6,786;ID_70259f6f-a971-4513-a597-ab041521bd42;1629148402;LOD2;2143;385527,0;5820641,1;180;0;492,6;30,00;138,7;22;22,73;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3D01YYK0003Udh;;0,923;12,260;ID_7c0bad14-265a-407f-b59b-58878c7f3fb2;1724161307;LOD2;1610;385900,0;5821103,1;180;0;47,7;30,00;138,7;2;2,07;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3D04YY50000Hfk;1905;0,623;4,571;ID_cf452ed6-a6b1-49af-b3a7-f8d732bc6b19;1091625882;LOD2;2142;385641,1;5820665,4;2;4;347,0;30,00;138,7;15;15,49;1033;27;48;112;203;210;224;198;189;128;62;31;21;
DEBE3DWFglQpZD2L;1905;0,412;23,199;ID_a61c1ac4-ed7a-4d53-a3c6-c4279c847a56;1969960990;LOD2;1010;384570,5;5820724,4;252;40;75,4;40,00;146,9;4;4,37;1094;41;68;165;252;229;238;201;223;171;85;54;32;
DEBE3D04YY50000HgO;;0,364;22,661;ID_e9dd5817-ceb9-4d0c-b758-44faf21b7a42;731642092;LOD2;1010;384705,6;5820092,8;180;0;218,4;30,00;138,7;9;9,30;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3DdXNpv0wyWe;;0,415;15,437;ID_7cc8cc92-fdaf-401e-8846-2108cda20b86;1041509991;LOD2;2050;385682,1;5820303,6;180;0;115,9;30,00;138,7;5;5,16;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3D04YY50000PwY;;1,092;3,289;ID_259f4940-cc8f-471c-a544-f91612e45f5e;1656827932;LOD2;2143;385983,7;5820390,9;180;0;71,0;30,00;138,7;3;3,10;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3D04YY50000PxG;1905;0,893;3,592;ID_05d9576b-d838-4606-8c7e-4db52072c9df;859263306;LOD2;2100;385632,3;5820585,3;182;6;168,4;30,00;138,7;7;7,23;1033;29;52;128;223;220;228;203;201;143;68;37;22;
DEBE01YYK0002QAg_02;;0,514;8,016;ID_7dd6316e-85d0-488c-8e85-6f408bb8ba56;438946310;LOD2;2142;385621,4;5821607,3;168;51;92,2;40,00;128,9;5;4,80;960;27;52;149;237;203;199;183;196;159;72;47;19;
DEBE3D04YY50000R9h;;1,231;2,552;ID_d580fdf9-995b-464d-af78-52a2fb3d4f10;2016029080;LOD2;2460;384697,1;5821903,1;180;0;114,1;30,00;138,7;5;5,16;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3D04YY50000Pwh;2013;0,321;12,594;ID_699b2c41-63e7-4d08-8f4e-1b34e4613b3e;1186436128;LOD2;2140;385566,1;5820359,5;199;11;114,1;40,00;135,8;6;6,07;1011;31;56;139;235;226;232;206;209;153;73;42;24;
DEBE3D04YY50000Pwh;2013;0,321;12,594;ID_50773a8b-09f5-4333-8324-6d6a3889870d;861762300;LOD2;2140;385566,1;5820359,5;290;11;116,4;40,00;129,8;6;5,80;967;30;54;126;218;219;233;203;202;141;68;37;23;
DEBE01YYK0002QAg_01;;0,501;6,009;ID_a67f08cc-6f81-4a25-a660-68f4270e8f5b;1200368418;LOD2;2142;385672,0;5821643,1;180;0;1866,1;30,00;138,7;83;85,74;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3D04YY5000006x;1905;0,344;12,680;ID_0240106d-c75d-4c90-9bb2-98d46b82b4e0;1866433894;LOD2;3041;384878,0;5820764,3;285;11;555,9;40,00;130,7;33;32,13;973;30;54;128;220;220;234;204;203;142;69;37;24;
DEBE3DImpTx4MuyV;;0,728;3,000;generated_ID_200644;602700983;LOD2;2010;385948,7;5821327,5;180;0;4743,1;30,00;138,7;213;220,03;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3Dr42OclAVhS;;0,474;20,404;ID_33ecf73c-d363-45c6-a086-0bdee9497663;1644685816;LOD2;1010;385675,6;5820062,6;180;0;51,9;30,00;138,7;2;2,07;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3DwKLEgma2A5;1905;0,605;19,636;ID_536c7e11-b30b-40f1-adce-20e2e18e9931;955216964;LOD2;1010;384674,3;5820678,7;180;0;48,3;30,00;138,7;2;2,07;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE04YY50000QYJ_01;;0,571;22,885;ID_2c1377ed-f7ff-43da-8c7c-cb29ea15c6dc;1093589342;LOD2;1010;385119,8;5820144,9;180;0;47,6;30,00;138,7;2;2,07;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3DfHiScDKAHk;;0,458;6,967;ID_f1e98b0b-23fe-4783-9a44-9a790755ea62;1002043043;LOD2;3065;385958,4;5821218,1;26;5;129,5;30,00;138,7;5;5,16;1033;26;47;109;201;208;221;196;187;126;60;30;20;
DEBE3D04YY50000A5T;1905;0,292;21,696;ID_363b623b-1174-430d-84ed-2bbb666b5dde;200776123;LOD2;1010;385356,6;5820773,6;272;41;167,0;40,00;137,6;10;10,25;1025;34;61;148;234;221;236;197;213;156;76;45;27;
DEBE3Dq0JWYht1xT;1905;0,530;23,089;ID_eabe2b3c-8a00-4410-ba07-d711d81d1c98;1009372129;LOD2;1010;385422,7;5820821,7;180;0;55,8;30,00;138,7;2;2,07;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3DhPMPk1sMWV;;0,282;11,013;ID_9e52430d-9e9e-431a-9490-37b14581eef7;2102932541;LOD2;2143;385304,1;5821356,1;180;0;800,5;30,00;138,7;36;37,19;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3DUec7cf88O3;;0,241;20,558;ID_5468cb4b-1391-464c-b2aa-ee2541c7198c;796369706;LOD2;2020;385665,2;5820406,3;180;0;299,7;30,00;138,7;13;13,43;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3D04YY50000Pv4;2013;0,245;19,993;ID_f511392f-9160-47e3-b6cc-dbb22a4043c5;275664954;LOD2;1010;385098,4;5820502,8;180;0;239,5;30,00;138,7;10;10,33;1033;28;50;120;214;216;226;201;195;136;65;34;22;
UUID_c7abc143-4943-4fb6-aa9c-9bdd310002c3;;0,361;7,583;ID_74cd1baa-d23d-4c2a-b7e5-04f3648c0f9e;902013725;LOD2;2054;385399,3;5821398,1;180;0;644,3;30,00;138,7;28;28,92;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3DkxCPiSAiYm;;0,437;18,468;ID_f7c36a8b-531f-410d-82a1-8f777bd0c4c4;1467951149;LOD2;1010;384872,1;5820880,6;180;0;79,4;30,00;138,7;3;3,10;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3D04YY50000Ptt;;0,791;3,904;ID_829c5538-9ce3-45cb-9709-47e8a54c4dba;254598274;LOD2;2460;384870,5;5820158,8;180;0;144,0;30,00;138,7;6;6,20;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3Dtss9GCZIuD;1905;0,298;22,003;ID_edab0658-088e-45d4-a48e-95211da88b51;1616069984;LOD2;1010;384625,0;5820768,6;286;36;116,5;40,00;129,7;6;5,80;966;30;56;133;217;214;232;195;203;143;69;38;23;
DEBE3D04YY50000QWP;;0,357;18,484;ID_9a96402e-5811-461b-a7e9-c7ce79a82ef3;1973831982;LOD2;1010;384518,8;5820055,9;180;0;279,8;30,00;138,7;12;12,40;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3DjoEBJjwZ1v;;0,265;21,961;ID_8828b13f-7d5d-4539-8d8d-f12cc5c97ee5;1601480173;LOD2;1010;385244,7;5820172,6;98;6;311,1;30,00;138,7;13;13,43;1033;25;47;114;208;211;221;198;189;131;61;32;19;
DEBE3DJqXrJRgLYi;;1,512;20,100;ID_98e83518-26fb-47b1-833e-e6231d456e3a;134066411;LOD2;1010;385923,5;5821199,2;108;8;61,3;30,00;138,7;2;2,07;1033;23;44;112;206;209;217;196;187;129;59;30;18;
DEBE3Dlrrl3UiuCu;;0,611;5,503;ID_79641c94-ff15-413d-83b2-2b7543a5a5fe;413740411;LOD2;2411;384399,5;5821806,3;180;0;105,2;30,00;138,7;4;4,13;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3D04YY50000IFv;2013;0,333;12,637;ID_a3d396ae-077b-4d5a-a2fd-d73f4e7fd3cc;1283627027;LOD2;2200;385391,6;5820531,7;180;0;625,1;30,00;138,7;28;28,92;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3DP2vy3YVURp;;0,165;23,021;ID_c2e0e2a4-6d80-4e7c-8116-5ab73068ffcd;586704204;LOD2;2020;385824,4;5820876,7;180;0;308,0;30,00;138,7;13;13,43;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3DXdYFpV1RVt;;0,462;5,224;ID_e903ecce-d9b0-4c30-bcc1-7624fbcc912b;931515492;LOD2;2020;385948,3;5820382,9;180;0;261,0;30,00;138,7;11;11,36;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3DaRrarxgnsV;;0,910;4,193;ID_f28b3686-4847-4e05-b70c-025194a31c44;511859507;LOD2;2030;384893,1;5820885,8;180;0;59,6;30,00;138,7;2;2,07;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE04YY50000GJ6_02;;0,615;16,806;ID_e53468df-14d0-4f5d-b9fd-25d2c8cdf8b2;655652515;LOD2;1010;384444,7;5820044,9;176;53;40,4;40,00;128,6;2;1,91;957;28;54;153;237;198;193;176;194;162;75;50;20;
DEBE04YY50000GJ6_01;;0,520;18,295;ID_68a0dba9-b009-41c5-9628-4ce2b5acb480;1247177662;LOD2;1010;384443,8;5820058,3;175;38;73,2;40,00;135,6;4;4,04;1010;30;56;154;246;215;213;193;206;165;76;49;21;
DEBE3DvrPbMiLYPp;;0,341;20,413;ID_1149323a-7005-4686-8892-7f95b2947e8a;1730610518;LOD2;1010;385731,6;5821362,0;164;10;185,1;30,00;138,7;8;8,26;1033;28;52;130;227;220;227;203;201;145;68;38;21;
DEBE04YY50000GJ6_03;;0,382;18,156;ID_f6abe6f8-0798-4954-8d7d-85bfaddc1b00;595081314;LOD2;1010;384456,7;5820052,4;86;10;107,2;30,00;138,7;4;4,13;1033;22;42;105;197;203;214;192;181;122;57;28;17;
DEBE04YY50000GJ6_03;;0,382;18,156;ID_a1214dfe-0bbe-4893-8ea7-a7794be36b97;1180494268;LOD2;1010;384456,7;5820052,4;266;10;94,7;30,00;138,7;4;4,13;1033;32;57;134;227;224;236;206;207;148;72;40;25;
DEBE3Di6pp4xPCg2;1905;0,484;22,325;ID_39583484-af43-48ae-b6aa-d4cc1c1a774d;87815828;LOD2;1010;384572,8;5820762,2;180;0;154,6;30,00;138,7;6;6,20;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3D04YY50000R68;;0,362;20,284;ID_39d26201-e676-43d1-9fb8-84ed2fa45d27;1581490194;LOD2;2120;384935,3;5820282,2;180;0;175,1;30,00;138,7;7;7,23;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3DFK7DnjNmEl;1955;0,184;20,351;ID_b276408d-57d1-4712-84b5-32a1cd985b1e;910300042;LOD2;1010;384723,8;5820965,2;180;0;64,1;30,00;138,7;2;2,07;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE04YY500003Aj_001;;0,401;9,938;ID_9aa61dd0-549f-4cf7-8db6-48b7e56a5e7e;705914510;LOD2;1010;384488,5;5820082,5;176;2;54,2;30,00;138,7;2;2,07;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3DaE3KivPnEk;1905;0,607;22,329;ID_ca4099f6-29e4-498d-b45a-f08801d379bb;1286232017;LOD2;1010;385416,2;5820823,6;180;0;40,1;30,00;138,7;1;1,03;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3D04YY50000A3t;1955;1,175;2,486;ID_040f6ae4-d5c8-4f89-a812-4dffa4a7decb;1460229667;LOD2;2460;384785,4;5820931,6;105;3;59,2;30,00;138,7;2;2,07;1033;25;47;115;209;211;221;198;190;132;62;32;20;
DEBE3Djlk9OJfmmT;2013;0,172;19,632;generated_ID_187092;250912462;LOD2;2521;385285,6;5820464,2;180;0;3547,1;30,00;138,7;159;164,25;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3D04YY50000Hcp;1900;0,365;8,204;ID_a5e45fa7-b58f-47a3-b78f-b24fab072f59;1398749226;LOD2;2100;385451,5;5820929,4;180;0;1294,5;30,00;138,7;58;59,91;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3DtLMeJNPnPz;1955;0,309;18,380;ID_3ef31fb1-0e82-41e3-9a5f-df94fd9fa93e;1227700848;LOD2;1010;384745,2;5821035,5;203;38;58,2;40,00;148,2;3;3,31;1103;39;70;175;264;225;223;197;221;182;90;59;30;
DEBE3DsJyOvfRtkj;1900;0,230;21,296;ID_190abfc2-09c9-42b6-b86c-0f9ab8bb9c1d;996936948;LOD2;1010;385106,4;5820824,7;92;10;345,9;30,00;138,7;15;15,49;1033;23;43;106;198;204;214;193;182;123;57;28;17;
DEBE3DsJyOvfRtkj;1900;0,230;21,296;ID_057ffc69-2dc5-4016-8c6e-bc48d21c551d;2096668731;LOD2;1010;385106,4;5820824,7;272;48;159,5;40,00;135,3;9;9,07;1007;34;61;149;230;216;229;191;208;155;75;45;27;
DEBE3D01YYK0002ReM;;0,505;20,676;ID_00e1f67e-00ec-40fe-bf83-cf7b6b08dda3;310721905;LOD2;1010;385789,6;5821324,8;174;9;139,1;30,00;138,7;6;6,20;1033;29;53;133;230;222;229;204;204;148;70;39;22;
DEBE3D01YYK0003VJ4;;0,584;7,129;ID_e0bedff1-d6f4-4321-bd8b-6439ac25dcd9;1001001828;LOD2;1610;385820,2;5821007,7;180;0;179,3;30,00;138,7;8;8,26;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3D04YY50000R2f;1905;1,242;3,004;generated_ID_152809;52873432;LOD2;2460;384744,0;5820819,5;180;0;58,4;30,00;138,7;2;2,07;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3DqsOBK0It5h;1900;0,753;5,695;ID_7c639028-4b73-470e-8913-c895c1ec7a53;1810105615;LOD2;2120;385172,1;5820956,0;180;0;84,3;30,00;138,7;3;3,10;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3D04YY50000A1M;;0,648;7,188;ID_76237fad-9f87-4c57-9318-247ffa0c97f3;920254732;LOD2;2200;385031,8;5821025,1;180;0;89,8;30,00;138,7;4;4,13;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3DwTMF5IEEiT;;0,230;13,853;ID_e14a5fac-1a35-4250-80e3-94c6e83f4e92;348267847;LOD2;2100;386016,8;5820937,7;180;0;1099,5;30,00;138,7;49;50,62;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3DdGR8YZSsTZ;1900;0,296;20,111;ID_bd6a4850-fc52-42d0-b969-25cc886e40ca;915565950;LOD2;1010;385283,7;5820805,7;181;43;78,7;40,00;136,8;4;4,07;1018;31;59;160;249;212;209;189;206;169;79;52;23;
DEBE3DdGR8YZSsTZ;1900;0,296;20,111;ID_0e7cc936-7b58-46b8-a5af-f2b969b4955c;1735601272;LOD2;1010;385283,7;5820805,7;1;10;159,7;30,00;138,7;7;7,23;1033;25;46;103;192;204;220;193;182;120;58;28;19;
DEBE3D04YY50000R3Z;;0,359;21,205;ID_3a71c046-abab-4bfa-9609-a2723ebcc75d;430769614;LOD2;1010;385621,1;5820080,8;104;2;180,7;30,00;138,7;8;8,26;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3D04YY50000R3Q;;0,267;22,555;ID_722e1497-07a1-44c5-95fd-40ae2feb9e9e;876336854;LOD2;1010;384873,4;5820216,7;180;0;218,0;30,00;138,7;9;9,30;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3D01YYK0003VI3;;1,041;3,206;ID_f9733eb0-8b1f-4e33-a395-0de9adffab20;1300026547;LOD2;1610;385717,8;5821134,0;169;5;74,4;30,00;138,7;3;3,10;1033;28;51;126;222;219;227;203;199;142;67;37;22;
UUID_367222e4-5fde-4a8b-8b86-c7bbd5c367b8;;0,379;15,508;ID_b557ed4d-bcb3-4ee5-80a7-78bbe7460598;431709043;LOD2;1010;384252,7;5820035,6;180;0;352,7;30,00;138,7;15;15,49;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3DTftT1WZQSs;;0,420;18,682;ID_0154539c-403e-4abf-bb64-5d1b86387e01;2107001446;LOD2;1010;385914,9;5821222,1;198;39;46,6;40,00;146,7;2;2,18;1092;38;68;174;262;223;221;196;219;180;89;58;29;
DEBE3DTftT1WZQSs;;0,420;18,682;ID_4b223715-eef1-4e82-916d-a94040b9a787;1196956876;LOD2;1010;385914,9;5821222,1;180;0;77,8;30,00;138,7;3;3,10;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3DnQeSs2teZs;;0,339;15,845;ID_c005ffcd-f93a-4988-9ca2-edfde07e6ab6;566981126;LOD2;1010;384805,9;5820135,3;85;3;63,6;30,00;138,7;2;2,07;1033;25;46;112;205;209;220;197;188;129;61;31;19;
UUID_fceb27c1-af69-4a5d-8df1-677d03caa986;1905;0,355;15,771;ID_6adfdadd-ee85-481a-aa0b-3861b3eae17e;1021644897;LOD2;1010;384804,3;5820827,3;180;0;202,9;30,00;138,7;9;9,30;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3DaJoCfMdOtI;1925;0,312;21,387;ID_45319c81-9bfd-4b7a-95c3-0aec437a9204;2021667649;LOD2;1010;384510,3;5821272,4;169;3;248,7;30,00;138,7;11;11,36;1033;28;51;126;222;219;227;203;199;142;67;37;22;
DEBE3DwUAEZZqPTo;;0,317;17,759;ID_d0f822cd-2a8c-4410-a4a3-8b76a9b6ffe4;394735310;LOD2;1010;385311,9;5820173,1;180;0;82,0;30,00;138,7;3;3,10;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3D01YYK0003VGP;;1,173;4,577;ID_1644e997-d6b0-4356-857d-e51e7297952d;2044561054;LOD2;1610;385965,6;5821794,3;180;0;45,6;30,00;138,7;2;2,07;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3D01YYK0002SCi;;0,870;6,863;ID_f7893c09-bdfd-4a12-94b2-b418e381809f;633052652;LOD2;1010;385822,0;5821139,0;180;0;70,3;30,00;138,7;3;3,10;1033;28;50;120;214;216;226;201;195;136;65;34;22;
UUID_01d2c2a6-d962-4d13-96fa-09724253cf59;;0,335;14,833;ID_67c4df06-6d0f-4726-82e6-51eb4409e285;1745762602;LOD2;2020;385341,5;5821296,7;180;0;570,7;30,00;138,7;25;25,82;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3DeVro4Xquwj;1905;0,335;22,186;ID_4c9f9215-57bb-4b10-9aa4-7b3d4e035170;1585283683;LOD2;1010;384637,2;5820905,4;195;7;264,3;30,00;138,7;11;11,36;1033;29;53;129;225;221;229;204;202;145;69;38;23;
DEBE04AL44k00003_01;;0,550;19,327;ID_ccaf1ef0-a827-45ed-bcc0-186fb68e2c9a;1598025415;LOD2;1010;385538,1;5820212,2;180;0;44,7;30,00;138,7;2;2,07;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3D04YY500004G4;1905;0,300;20,457;ID_83590b28-121b-4e3e-9dc3-4921f4898314;667442220;LOD2;1010;385045,2;5820721,4;180;0;534,5;30,00;138,7;24;24,79;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3D04YY50000Lx7;;0,450;21,269;ID_67b015be-8ddd-4669-a847-31dcf5dcffc4;1571685769;LOD2;1010;384726,8;5820033,7;180;0;205,7;30,00;138,7;9;9,30;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3DtmO0H8YZDx;;0,313;22,136;ID_9a9918cf-fed5-4f2f-92be-545db807ff51;115269575;LOD2;1010;385197,0;5820100,5;278;10;176,2;30,00;138,7;7;7,23;1033;31;55;129;222;221;235;204;204;144;70;38;24;
DEBE3DtmO0H8YZDx;;0,313;22,136;ID_518eb6a5-1db7-4ba2-8cf6-c552eb851f99;1298261665;LOD2;1010;385197,0;5820100,5;29;8;109,2;30,00;138,7;4;4,13;1033;24;43;98;187;200;214;191;176;116;56;27;19;
DEBE01YYK0003V66_01;;0,871;4,700;ID_4ea32663-2f5c-4b74-afaf-f1e2a7e546b4;1792232189;LOD2;1610;385880,9;5821827,0;180;0;59,9;30,00;138,7;2;2,07;1033;28;50;120;214;216;226;201;195;136;65;34;22;
